filename,filepath,label
10794.jpg,D:\coderecet drone\test-org-img\10794.jpg,severe
10801.jpg,D:\coderecet drone\test-org-img\10801.jpg,severe
10807.jpg,D:\coderecet drone\test-org-img\10807.jpg,severe
10808.jpg,D:\coderecet drone\test-org-img\10808.jpg,severe
10836.jpg,D:\coderecet drone\test-org-img\10836.jpg,severe
10838.jpg,D:\coderecet drone\test-org-img\10838.jpg,high
10844.jpg,D:\coderecet drone\test-org-img\10844.jpg,severe
10849.jpg,D:\coderecet drone\test-org-img\10849.jpg,high
10856.jpg,D:\coderecet drone\test-org-img\10856.jpg,medium
10890.jpg,D:\coderecet drone\test-org-img\10890.jpg,severe
10894.jpg,D:\coderecet drone\test-org-img\10894.jpg,severe
10917.jpg,D:\coderecet drone\test-org-img\10917.jpg,severe
10923.jpg,D:\coderecet drone\test-org-img\10923.jpg,high
10950.jpg,D:\coderecet drone\test-org-img\10950.jpg,no_damage
10955.jpg,D:\coderecet drone\test-org-img\10955.jpg,high
10957.jpg,D:\coderecet drone\test-org-img\10957.jpg,high
11024.jpg,D:\coderecet drone\test-org-img\11024.jpg,high
11028.jpg,D:\coderecet drone\test-org-img\11028.jpg,severe
11038.jpg,D:\coderecet drone\test-org-img\11038.jpg,medium
11045.jpg,D:\coderecet drone\test-org-img\11045.jpg,severe
11050.jpg,D:\coderecet drone\test-org-img\11050.jpg,high
11074.jpg,D:\coderecet drone\test-org-img\11074.jpg,severe
11084.jpg,D:\coderecet drone\test-org-img\11084.jpg,low
11087.jpg,D:\coderecet drone\test-org-img\11087.jpg,medium
11089.jpg,D:\coderecet drone\test-org-img\11089.jpg,medium
11096.jpg,D:\coderecet drone\test-org-img\11096.jpg,medium
11101.jpg,D:\coderecet drone\test-org-img\11101.jpg,low
11102.jpg,D:\coderecet drone\test-org-img\11102.jpg,low
11103.jpg,D:\coderecet drone\test-org-img\11103.jpg,low
11112.jpg,D:\coderecet drone\test-org-img\11112.jpg,high
11117.jpg,D:\coderecet drone\test-org-img\11117.jpg,medium
11121.jpg,D:\coderecet drone\test-org-img\11121.jpg,high
11145.jpg,D:\coderecet drone\test-org-img\11145.jpg,medium
11148.jpg,D:\coderecet drone\test-org-img\11148.jpg,low
11151.jpg,D:\coderecet drone\test-org-img\11151.jpg,low
11180.jpg,D:\coderecet drone\test-org-img\11180.jpg,low
11195.jpg,D:\coderecet drone\test-org-img\11195.jpg,low
11199.jpg,D:\coderecet drone\test-org-img\11199.jpg,low
11204.jpg,D:\coderecet drone\test-org-img\11204.jpg,no_damage
11236.jpg,D:\coderecet drone\test-org-img\11236.jpg,high
11238.jpg,D:\coderecet drone\test-org-img\11238.jpg,high
11242.jpg,D:\coderecet drone\test-org-img\11242.jpg,medium
11257.jpg,D:\coderecet drone\test-org-img\11257.jpg,low
11269.jpg,D:\coderecet drone\test-org-img\11269.jpg,medium
11272.jpg,D:\coderecet drone\test-org-img\11272.jpg,high
11282.jpg,D:\coderecet drone\test-org-img\11282.jpg,medium
11290.jpg,D:\coderecet drone\test-org-img\11290.jpg,medium
11298.jpg,D:\coderecet drone\test-org-img\11298.jpg,low
11306.jpg,D:\coderecet drone\test-org-img\11306.jpg,low
11310.jpg,D:\coderecet drone\test-org-img\11310.jpg,low
11312.jpg,D:\coderecet drone\test-org-img\11312.jpg,low
11317.jpg,D:\coderecet drone\test-org-img\11317.jpg,low
11324.jpg,D:\coderecet drone\test-org-img\11324.jpg,medium
11332.jpg,D:\coderecet drone\test-org-img\11332.jpg,low
11343.jpg,D:\coderecet drone\test-org-img\11343.jpg,medium
11358.jpg,D:\coderecet drone\test-org-img\11358.jpg,medium
11386.jpg,D:\coderecet drone\test-org-img\11386.jpg,low
11388.jpg,D:\coderecet drone\test-org-img\11388.jpg,medium
11401.jpg,D:\coderecet drone\test-org-img\11401.jpg,medium
11415.jpg,D:\coderecet drone\test-org-img\11415.jpg,high
11419.jpg,D:\coderecet drone\test-org-img\11419.jpg,medium
11426.jpg,D:\coderecet drone\test-org-img\11426.jpg,low
11441.jpg,D:\coderecet drone\test-org-img\11441.jpg,low
11453.jpg,D:\coderecet drone\test-org-img\11453.jpg,medium
11459.jpg,D:\coderecet drone\test-org-img\11459.jpg,low
11461.jpg,D:\coderecet drone\test-org-img\11461.jpg,low
11476.jpg,D:\coderecet drone\test-org-img\11476.jpg,medium
11504.jpg,D:\coderecet drone\test-org-img\11504.jpg,low
11505.jpg,D:\coderecet drone\test-org-img\11505.jpg,no_damage
11548.jpg,D:\coderecet drone\test-org-img\11548.jpg,severe
11550.jpg,D:\coderecet drone\test-org-img\11550.jpg,severe
11577.jpg,D:\coderecet drone\test-org-img\11577.jpg,low
11585.jpg,D:\coderecet drone\test-org-img\11585.jpg,high
11609.jpg,D:\coderecet drone\test-org-img\11609.jpg,no_damage
11614.jpg,D:\coderecet drone\test-org-img\11614.jpg,no_damage
11616.jpg,D:\coderecet drone\test-org-img\11616.jpg,no_damage
11627.jpg,D:\coderecet drone\test-org-img\11627.jpg,severe
11628.jpg,D:\coderecet drone\test-org-img\11628.jpg,severe
11645.jpg,D:\coderecet drone\test-org-img\11645.jpg,medium
11652.jpg,D:\coderecet drone\test-org-img\11652.jpg,low
11653.jpg,D:\coderecet drone\test-org-img\11653.jpg,low
11661.jpg,D:\coderecet drone\test-org-img\11661.jpg,low
11669.jpg,D:\coderecet drone\test-org-img\11669.jpg,medium
11683.jpg,D:\coderecet drone\test-org-img\11683.jpg,high
11686.jpg,D:\coderecet drone\test-org-img\11686.jpg,low
11689.jpg,D:\coderecet drone\test-org-img\11689.jpg,no_damage
11704.jpg,D:\coderecet drone\test-org-img\11704.jpg,high
11709.jpg,D:\coderecet drone\test-org-img\11709.jpg,severe
11713.jpg,D:\coderecet drone\test-org-img\11713.jpg,severe
11726.jpg,D:\coderecet drone\test-org-img\11726.jpg,medium
11727.jpg,D:\coderecet drone\test-org-img\11727.jpg,low
11737.jpg,D:\coderecet drone\test-org-img\11737.jpg,low
11774.jpg,D:\coderecet drone\test-org-img\11774.jpg,low
11802.jpg,D:\coderecet drone\test-org-img\11802.jpg,severe
11812.jpg,D:\coderecet drone\test-org-img\11812.jpg,no_damage
11852.jpg,D:\coderecet drone\test-org-img\11852.jpg,severe
11903.jpg,D:\coderecet drone\test-org-img\11903.jpg,high
11914.jpg,D:\coderecet drone\test-org-img\11914.jpg,high
11916.jpg,D:\coderecet drone\test-org-img\11916.jpg,severe
11918.jpg,D:\coderecet drone\test-org-img\11918.jpg,high
11924.jpg,D:\coderecet drone\test-org-img\11924.jpg,low
11939.jpg,D:\coderecet drone\test-org-img\11939.jpg,low
11943.jpg,D:\coderecet drone\test-org-img\11943.jpg,medium
11946.jpg,D:\coderecet drone\test-org-img\11946.jpg,medium
11955.jpg,D:\coderecet drone\test-org-img\11955.jpg,high
11959.jpg,D:\coderecet drone\test-org-img\11959.jpg,severe
11961.jpg,D:\coderecet drone\test-org-img\11961.jpg,severe
11965.jpg,D:\coderecet drone\test-org-img\11965.jpg,severe
11971.jpg,D:\coderecet drone\test-org-img\11971.jpg,no_damage
11979.jpg,D:\coderecet drone\test-org-img\11979.jpg,medium
11989.jpg,D:\coderecet drone\test-org-img\11989.jpg,low
11990.jpg,D:\coderecet drone\test-org-img\11990.jpg,no_damage
11993.jpg,D:\coderecet drone\test-org-img\11993.jpg,no_damage
12007.jpg,D:\coderecet drone\test-org-img\12007.jpg,no_damage
12012.jpg,D:\coderecet drone\test-org-img\12012.jpg,low
12023.jpg,D:\coderecet drone\test-org-img\12023.jpg,low
12054.jpg,D:\coderecet drone\test-org-img\12054.jpg,no_damage
12056.jpg,D:\coderecet drone\test-org-img\12056.jpg,no_damage
12070.jpg,D:\coderecet drone\test-org-img\12070.jpg,low
12095.jpg,D:\coderecet drone\test-org-img\12095.jpg,low
12105.jpg,D:\coderecet drone\test-org-img\12105.jpg,low
12129.jpg,D:\coderecet drone\test-org-img\12129.jpg,no_damage
12131.jpg,D:\coderecet drone\test-org-img\12131.jpg,no_damage
12137.jpg,D:\coderecet drone\test-org-img\12137.jpg,low
12140.jpg,D:\coderecet drone\test-org-img\12140.jpg,low
12143.jpg,D:\coderecet drone\test-org-img\12143.jpg,low
12156.jpg,D:\coderecet drone\test-org-img\12156.jpg,medium
12162.jpg,D:\coderecet drone\test-org-img\12162.jpg,high
12169.jpg,D:\coderecet drone\test-org-img\12169.jpg,high
12170.jpg,D:\coderecet drone\test-org-img\12170.jpg,high
12172.jpg,D:\coderecet drone\test-org-img\12172.jpg,low
12177.jpg,D:\coderecet drone\test-org-img\12177.jpg,no_damage
12178.jpg,D:\coderecet drone\test-org-img\12178.jpg,no_damage
12185.jpg,D:\coderecet drone\test-org-img\12185.jpg,severe
12188.jpg,D:\coderecet drone\test-org-img\12188.jpg,high
12195.jpg,D:\coderecet drone\test-org-img\12195.jpg,low
12198.jpg,D:\coderecet drone\test-org-img\12198.jpg,medium
12237.jpg,D:\coderecet drone\test-org-img\12237.jpg,no_damage
12250.jpg,D:\coderecet drone\test-org-img\12250.jpg,low
12252.jpg,D:\coderecet drone\test-org-img\12252.jpg,low
12253.jpg,D:\coderecet drone\test-org-img\12253.jpg,low
12260.jpg,D:\coderecet drone\test-org-img\12260.jpg,low
12268.jpg,D:\coderecet drone\test-org-img\12268.jpg,medium
12269.jpg,D:\coderecet drone\test-org-img\12269.jpg,medium
12272.jpg,D:\coderecet drone\test-org-img\12272.jpg,medium
12278.jpg,D:\coderecet drone\test-org-img\12278.jpg,severe
12280.jpg,D:\coderecet drone\test-org-img\12280.jpg,severe
12306.jpg,D:\coderecet drone\test-org-img\12306.jpg,severe
12382.jpg,D:\coderecet drone\test-org-img\12382.jpg,medium
12388.jpg,D:\coderecet drone\test-org-img\12388.jpg,high
12401.jpg,D:\coderecet drone\test-org-img\12401.jpg,low
12433.jpg,D:\coderecet drone\test-org-img\12433.jpg,medium
12438.jpg,D:\coderecet drone\test-org-img\12438.jpg,high
12445.jpg,D:\coderecet drone\test-org-img\12445.jpg,high
12446.jpg,D:\coderecet drone\test-org-img\12446.jpg,medium
12461.jpg,D:\coderecet drone\test-org-img\12461.jpg,severe
12468.jpg,D:\coderecet drone\test-org-img\12468.jpg,medium
12476.jpg,D:\coderecet drone\test-org-img\12476.jpg,low
12484.jpg,D:\coderecet drone\test-org-img\12484.jpg,low
12495.jpg,D:\coderecet drone\test-org-img\12495.jpg,severe
12507.jpg,D:\coderecet drone\test-org-img\12507.jpg,high
12518.jpg,D:\coderecet drone\test-org-img\12518.jpg,low
12525.jpg,D:\coderecet drone\test-org-img\12525.jpg,no_damage
12545.jpg,D:\coderecet drone\test-org-img\12545.jpg,high
12553.jpg,D:\coderecet drone\test-org-img\12553.jpg,low
12560.jpg,D:\coderecet drone\test-org-img\12560.jpg,low
12579.jpg,D:\coderecet drone\test-org-img\12579.jpg,no_damage
12580.jpg,D:\coderecet drone\test-org-img\12580.jpg,no_damage
12584.jpg,D:\coderecet drone\test-org-img\12584.jpg,no_damage
12598.jpg,D:\coderecet drone\test-org-img\12598.jpg,severe
12600.jpg,D:\coderecet drone\test-org-img\12600.jpg,severe
12619.jpg,D:\coderecet drone\test-org-img\12619.jpg,low
12636.jpg,D:\coderecet drone\test-org-img\12636.jpg,no_damage
12638.jpg,D:\coderecet drone\test-org-img\12638.jpg,no_damage
12662.jpg,D:\coderecet drone\test-org-img\12662.jpg,low
12664.jpg,D:\coderecet drone\test-org-img\12664.jpg,low
12666.jpg,D:\coderecet drone\test-org-img\12666.jpg,low
12687.jpg,D:\coderecet drone\test-org-img\12687.jpg,medium
12693.jpg,D:\coderecet drone\test-org-img\12693.jpg,no_damage
12702.jpg,D:\coderecet drone\test-org-img\12702.jpg,low
12708.jpg,D:\coderecet drone\test-org-img\12708.jpg,severe
12742.jpg,D:\coderecet drone\test-org-img\12742.jpg,no_damage
12784.jpg,D:\coderecet drone\test-org-img\12784.jpg,high
12796.jpg,D:\coderecet drone\test-org-img\12796.jpg,low
12811.jpg,D:\coderecet drone\test-org-img\12811.jpg,low
12814.jpg,D:\coderecet drone\test-org-img\12814.jpg,high
12821.jpg,D:\coderecet drone\test-org-img\12821.jpg,medium
12827.jpg,D:\coderecet drone\test-org-img\12827.jpg,no_damage
12842.jpg,D:\coderecet drone\test-org-img\12842.jpg,high
12859.jpg,D:\coderecet drone\test-org-img\12859.jpg,low
